-1.509602 1.312277 
-1.539936 1.292160 
-1.570064 1.271413 
-1.599974 1.250037 
-1.629654 1.228032 
-1.659092 1.205401 
-1.688276 1.182144 
-1.717193 1.158262 
-1.745832 1.133757 
-1.774180 1.108631 
-1.802224 1.082885 
-1.829953 1.056524 
-1.857354 1.029548 
-1.884414 1.001961 
-1.911122 0.973765 
-1.937464 0.944964 
-1.963429 0.915562 
-1.989005 0.885562 
-2.014178 0.854968 
-2.038936 0.823784 
-2.063268 0.792014 
-2.087160 0.759664 
-2.110600 0.726738 
-2.133577 0.693241 
-2.156078 0.659179 
-2.178090 0.624557 
-2.199601 0.589381 
-2.220600 0.553658 
-2.241074 0.517393 
-2.261011 0.480593 
-2.280400 0.443265 
-2.299228 0.405416 
-2.317483 0.367053 
-2.335153 0.328184 
-2.352228 0.288817 
-2.368695 0.248960 
-2.384542 0.208620 
-2.399759 0.167808 
-2.414334 0.126530 
-2.428255 0.084797 
-2.441512 0.042617 
-2.454094 0.000000 
-2.465988 -0.043044 
-2.477186 -0.086505 
-2.487675 -0.130374 
-2.497446 -0.174638 
-2.506488 -0.219289 
-2.514791 -0.264315 
-2.522344 -0.309705 
-2.529137 -0.355447 
-2.535161 -0.401530 
-2.540406 -0.447942 
-2.544863 -0.494671 
-2.548521 -0.541705 
-2.551372 -0.589031 
-2.553407 -0.636636 
-2.554617 -0.684508 
-2.554993 -0.732632 
-2.554527 -0.780997 
-2.553210 -0.829588 
-2.551035 -0.878392 
-2.547993 -0.927393 
-2.544076 -0.976579 
-2.539278 -1.025935 
-2.533592 -1.075446 
-2.527009 -1.125097 
-2.519523 -1.174873 
-2.511128 -1.224759 
-2.501818 -1.274740 
-2.491585 -1.324799 
-2.480425 -1.374922 
-2.468332 -1.425092 
-2.455300 -1.475293 
-2.441325 -1.525509 
-2.426401 -1.575723 
-2.410524 -1.625919 
-2.393689 -1.676079 
-2.375894 -1.726188 
-2.357133 -1.776227 
-2.337403 -1.826179 
-2.316702 -1.876028 
-2.295026 -1.925755 
-2.272372 -1.975343 
-2.248740 -2.024774 
-2.224125 -2.074030 
-2.198528 -2.123093 
-2.171945 -2.171945 
-2.144377 -2.220568 
-2.115823 -2.268942 
-2.086282 -2.317051 
-2.055754 -2.364874 
-2.024239 -2.412394 
-1.991737 -2.459591 
-1.958251 -2.506447 
-1.923780 -2.552942 
-1.888327 -2.599059 
-1.851893 -2.644777 
-1.814480 -2.690077 
-1.776092 -2.734941 
-1.736730 -2.779350 
-1.696399 -2.823283 
-1.655102 -2.866721 
-1.612843 -2.909646 
-1.569626 -2.952038 
-1.525456 -2.993877 
-1.480338 -3.035144 
-1.434278 -3.075819 
-1.387281 -3.115885 
-1.339354 -3.155319 
-1.290502 -3.194105 
-1.240734 -3.232222 
-1.190055 -3.269650 
-1.138475 -3.306371 
-1.086000 -3.342365 
-1.032640 -3.377613 
-0.978403 -3.412097 
-0.923298 -3.445796 
-0.867335 -3.478692 
-0.810524 -3.510765 
-0.752875 -3.541998 
-0.694399 -3.572371 
-0.635106 -3.601866 
-0.575009 -3.630463 
-0.514119 -3.658145 
-0.452448 -3.684894 
-0.390009 -3.710690 
-0.326815 -3.735516 
-0.262880 -3.759354 
-0.198216 -3.782186 
-0.132838 -3.803995 
-0.066761 -3.824762 
-0.000000 -3.844472 
0.067431 -3.863106 
0.135515 -3.880647 
0.204237 -3.897080 
0.273581 -3.912386 
0.343529 -3.926551 
0.414064 -3.939557 
0.485170 -3.951389 
0.556827 -3.962032 
0.629019 -3.971469 
0.701726 -3.979685 
0.774930 -3.986667 
0.848610 -3.992398 
0.922749 -3.996864 
0.997325 -4.000052 
1.072319 -4.001947 
1.147709 -4.002536 
1.223475 -4.001806 
1.299595 -3.999743 
1.376049 -3.996335 
1.452813 -3.991570 
1.529865 -3.985435 
1.607183 -3.977919 
1.684745 -3.969010 
1.762526 -3.958698 
1.840503 -3.946971 
1.918652 -3.933820 
1.996950 -3.919234 
2.075371 -3.903205 
2.153891 -3.885722 
2.232485 -3.866777 
2.311128 -3.846362 
2.389793 -3.824469 
2.468456 -3.801090 
2.547091 -3.776217 
2.625670 -3.749845 
2.704167 -3.721967 
2.782556 -3.692577 
2.860810 -3.661670 
2.938901 -3.629240 
3.016801 -3.595283 
3.094483 -3.559796 
3.171920 -3.522774 
3.249082 -3.484214 
3.325942 -3.444114 
3.402471 -3.402471 
3.478641 -3.359285 
3.554422 -3.314553 
3.629787 -3.268275 
3.704704 -3.220450 
3.779147 -3.171080 
3.853083 -3.120165 
3.926486 -3.067707 
3.999324 -3.013707 
4.071568 -2.958167 
4.143188 -2.901091 
4.214153 -2.842482 
4.284435 -2.782345 
4.354003 -2.720683 
4.422827 -2.657502 
4.490875 -2.592808 
4.558119 -2.526607 
4.624528 -2.458905 
4.690071 -2.389711 
4.754719 -2.319031 
4.818439 -2.246875 
4.881203 -2.173252 
4.942980 -2.098171 
5.003740 -2.021642 
5.063452 -1.943677 
5.122085 -1.864287 
5.179611 -1.783483 
5.235998 -1.701279 
5.291216 -1.617687 
5.345236 -1.532722 
5.398027 -1.446397 
5.449561 -1.358728 
5.499806 -1.269730 
5.548734 -1.179420 
5.596315 -1.087813 
5.642520 -0.994928 
5.687319 -0.900783 
5.730685 -0.805395 
5.772587 -0.708785 
5.812998 -0.610971 
5.851890 -0.511974 
5.889234 -0.411815 
5.925001 -0.310516 
5.959166 -0.208099 
5.991699 -0.104586 
